course_id,id,component_type,frequency,week_pattern,number_per_week,allowed_days,allowed_periods,allowed_timeslots,sections_min,sections_max,section_cap_min,section_cap_max
CS_D_S2Y3,Lec,lecture,weekly,every_week,3,,,1:1;4:8;0:7,1,1,0,999
CS_D_S2Y3,Ws,workshop,weekly,every_week,1,,,1:2,1,1,0,999
CS_D_S2Y3,fws,workshop,fortnightly,even_weeks,1,,,3:5,1,1,0,999

CS_A_S1Y4,Lec,lecture,weekly,every_week,3,,,0:2;1:7;2:1,1,1,0,999
CS_A_S1Y4,Ws,workshop,weekly,every_week,1,,,4:1,1,1,0,999
CS_A_S1Y4,fws,workshop,fortnightly,even_weeks,1,,,1:8,1,1,0,999
CS_B_S1Y4,Lec,lecture,weekly,every_week,3,,,1:3;2:4;4:3,1,1,0,999
CS_B_S1Y4,Ws,workshop,weekly,every_week,1,,,0:3,1,1,0,999
CS_B_S1Y4,fws,workshop,fortnightly,even_weeks,1,,,4:4,1,1,0,999

CS_C_S2Y4,Lec,lecture,weekly,every_week,3,,,0:4;3:3;4:0,1,1,0,999
CS_C_S2Y4,Ws,workshop,weekly,every_week,1,,,1:6,1,1,0,999
CS_C_S2Y4,fws,workshop,fortnightly,even_weeks,1,,,2:5,1,1,0,999
CS_D_S2Y4,Lec,lecture,weekly,every_week,3,,,1:1;4:8;0:7,1,1,0,999
CS_D_S2Y4,Ws,workshop,weekly,every_week,1,,,1:2,1,1,0,999
CS_D_S2Y4,fws,workshop,fortnightly,even_weeks,1,,,3:5,1,1,0,999


PHIL_A_S1Y3,Lec,lecture,weekly,every_week,3,,,0:4;3:3;4:0,1,1,0,999
PHIL_A_S1Y3,Ws,workshop,weekly,every_week,1,,,1:6,1,1,0,999
PHIL_A_S1Y3,fws,workshop,fortnightly,even_weeks,1,,,2:5,1,1,0,999
PHIL_B_S1Y3,Lec,lecture,weekly,every_week,3,,,1:1;4:8;0:7,1,1,0,999
PHIL_B_S1Y3,Ws,workshop,weekly,every_week,1,,,1:2,1,1,0,999
PHIL_B_S1Y3,fws,workshop,fortnightly,even_weeks,1,,,3:5,1,1,0,999

PHIL_C_S2Y3,Lec,lecture,weekly,every_week,3,,,0:2;1:7;2:1,1,1,0,999
PHIL_C_S2Y3,Ws,workshop,weekly,every_week,1,,,4:1,1,1,0,999
PHIL_C_S2Y3,fws,workshop,fortnightly,even_weeks,1,,,1:8,1,1,0,999
PHIL_D_S2Y3,Lec,lecture,weekly,every_week,3,,,1:3;2:4;4:3,1,1,0,999
PHIL_D_S2Y3,Ws,workshop,weekly,every_week,1,,,0:3,1,1,0,999
PHIL_D_S2Y3,fws,workshop,fortnightly,even_weeks,1,,,4:4,1,1,0,999

PHIL_A_S1Y4,Lec,lecture,weekly,every_week,3,,,0:8;1:4;4:5,1,1,0,999
PHIL_A_S1Y4,Ws,workshop,weekly,every_week,1,,,3:7,1,1,0,999
PHIL_A_S1Y4,fws,workshop,fortnightly,even_weeks,1,,,2:1,1,1,0,999
PHIL_B_S1Y4,Lec,lecture,weekly,every_week,3,,,3:2;2:8;4:2,1,1,0,999
PHIL_B_S1Y4,Ws,workshop,weekly,every_week,1,,,2:6,1,1,0,999
PHIL_B_S1Y4,fws,workshop,fortnightly,even_weeks,1,,,1:0,1,1,0,999

PHIL_C_S2Y4,Lec,lecture,weekly,every_week,3,,,0:0;1:2;2:6,1,1,0,999
PHIL_C_S2Y4,Ws,workshop,weekly,every_week,1,,,3:4,1,1,0,999
PHIL_C_S2Y4,fws,workshop,fortnightly,even_weeks,1,,,4:7,1,1,0,999
PHIL_D_S2Y4,Lec,lecture,weekly,every_week,3,,,1:0;2:3;3:8,1,1,0,999
PHIL_D_S2Y4,Ws,workshop,weekly,every_week,1,,,3:1,1,1,0,999
PHIL_D_S2Y4,fws,workshop,fortnightly,even_weeks,1,,,0:5,1,1,0,999
