course_id,id,component_type,frequency,week_pattern,number_per_week,allowed_days,allowed_periods,sections_min,sections_max,section_cap_min,section_cap_max
BUS30008,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
BUS30008,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999



PHIL30001,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
PHIL30001,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
PHIL30001,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999
PHIL30002,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
PHIL30002,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
PHIL30002,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999

PHIL30003,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
PHIL30003,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
PHIL30003,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999
PHIL30004,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
PHIL30004,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
PHIL30004,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999

PHIL30005,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
PHIL30005,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
PHIL30005,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999
PHIL30006,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
PHIL30006,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
PHIL30006,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999

PHIL30007,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
PHIL30007,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
PHIL30007,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999
PHIL30008,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
PHIL30008,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
PHIL30008,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999
